membership_id,name,first_name,last_name,date_of_birth,email,mobile_no,above_18,valid_email,valid_mobile
Dixon_3864b,William Dixon,William,Dixon,19860110,William_Dixon@woodward-fuller.biz,40601711,true,false,true
Horn_17277,Kristen Horn,Kristen,Horn,19740910,Kristen_Horn@lin.com,737931,true,true,false
Chang_d3c7b,Kimberly Chang,Kimberly,Chang,19740227,Kimberly_Chang@johnson-lopez.biz,2692047,true,false,false
Ball_f4f07,Mary Ball,Mary,Ball,19680205,Mary_Ball@stevens.biz,886359,true,false,false
Craig_019ec,Benjamin Craig,Benjamin,Craig,19881211,Benjamin_Craig@berry.net,696429,true,true,false
Werner_0523c,Cathy Werner,Cathy,Werner,20180925,Cathy_Werner@martinez.net,7138041,false,true,false
Bell_a05f5,Brandon Bell,Brandon,Bell,19611027,Brandon_Bell@johnson-burgess.com,768543,true,true,false
Farley_ad4d0,Paul Farley,Paul,Farley,19801122,Paul_Farley@payne-taylor.com,8196105,true,true,false
Mcdaniel_483ee,Sarah Mcdaniel,Sarah,Mcdaniel,20170426,Sarah_Mcdaniel@hughes-simon.com,12556,false,true,false
Anderson_19b26,Caroline Anderson,Caroline,Anderson,19880227,Caroline_Anderson@blair-phillips.com,5818212,true,true,false
Jones_8e15d,Carl Jones,Carl,Jones,19930621,Carl_Jones@coleman.com,220035,true,true,false
Lee_ef9ee,Scott Lee,Scott,Lee,20100712,Scott_Lee@phillips.com,52145751,false,true,true
Coleman_fb83f,Kaylee Coleman,Kaylee,Coleman,20091008,Kaylee_Coleman@hammond.com,156657,false,true,false
Parker_249ee,Charles Parker,Charles,Parker,19801220,Charles_Parker@morris-keller.com,92921,true,true,false
Hess_67028,Susan Hess,Susan,Hess,19500521,Susan_Hess@sharp-hodges.net,46541,true,true,false
Collier_354e5,Kiara Collier,Kiara,Collier,19590521,Kiara_Collier@chandler.biz,955551,true,false,false
Scott_72931,Mr. Scott Martinez,Mr.,Scott,19920216,Scott_Martinez@goodwin.com,369441,true,true,false
Ortega_12782,Christopher Ortega,Christopher,Ortega,19590618,Christopher_Ortega@perez.biz,9968155,true,false,false
Russell_c394c,Michael Russell,Michael,Russell,20130120,Michael_Russell@nunez-wright.com,6400283,false,true,false
